text,retweet_count,favorite_count,month,year
Breaking News @MSNBC: “Cohen’s lawyer contradicts Cohen’s testimony about never seeking a Presidential Pardon.”,19563,79746,3,2019
We are on track to APPREHEND more than one million people coming across the Southern Border this year. Great job by Border Patrol (and others) who are working in a Broken System. Can be fixed by Congress so easily and quickly if only the Democrats would get on board!,30200,124602,3,2019
"It was not a campaign contribution, and there were no violations of the campaign finance laws by me. Fake News!",21409,103387,3,2019
"Democrats just blocked @FoxNews from holding a debate. Good, then I think I’ll do the same thing with the Fake News Networks and the Radical Left Democrats in the General Election debates!",43731,182190,3,2019
"Wall Street Journal: “More migrant families crossing into the U.S. illegally have been arrested in the first five months of the federal fiscal year than in any prior full year.” We are doing a great job at the border, but this is a National Emergency!",25853,105818,3,2019
"Congressman Chris Stewart: “No one is accusing the President of a crime and yet they (the Democrats) are issuing hundreds of subpoenas. This is unprecedented.” They are desperately trying to find anything they can, even a punctuation mistake in a document!",26622,98914,3,2019
American Workforce Policy Advisory Board Meeting at the @WhiteHouse! https://t.co/izb2tTrINB,11698,47581,3,2019
It is shameful that House Democrats won’t take a stronger stand against Anti-Semitism in their conference. Anti-Semitism has fueled atrocities throughout history and it’s inconceivable they will not act to condemn it!,30641,116442,3,2019
"Senate Republicans are not voting on constitutionality or precedent, they are voting on desperately needed Border Security &amp; the Wall. Our Country is being invaded with Drugs, Human Traffickers, &amp; Criminals of all shapes and sizes. That’s what this vote is all about. STAY UNITED!",31716,122544,3,2019
"RT @DonaldJTrumpJr: Jim Jordan: No evidence of Trump colluding with Russia, but 'all kinds' showing Clinton campaign did https://t.co/XR2hU…",30625,0,3,2019
Weirdo Tom Steyer doesn’t have the “guts” or money to run for President. He’s all talk! https://t.co/klmVsCmeNE,15696,64519,3,2019
RT @DonaldJTrumpJr: Weird that all of a sudden the Fake Dossier author (paid for by Hillary and the DNC etc) no longe wants to show up and…,17984,0,3,2019
RT @IngrahamAngle: Tune in tonight for blockbuster analysis of the Dems’ colossally stupid decision to overreach with overbroad subpoenas..…,8751,0,3,2019
"Hans Von Spakovsky, “I haven’t seen any evidence of actual violations of the law, which is usually a basis before you start an investigation. Adam Schiff seems to be copying Joseph McCarthy in wanting to open up investigations when they don’t have any evidence of wrongdoing.”",28136,105730,3,2019
"RT @Uncle_Jimbo: .@JerryNadler admits on #CNN they have no proof of Obstruction by @realDonaldTrump it's just his ""personal opinion""

Meet…",17868,0,3,2019
Presidential Harassment! https://t.co/AHz6kLliaC,23,63,3,2019
"RT @GOPChairwoman: While @realDonaldTrump was successful in the private sector, career politicians enrich themselves by spending decades in…",13993,0,3,2019
RT @PressSec: Statement on Chairman Nadler’s fishing expedition. https://t.co/tBsVzrtGYg,17149,0,3,2019
"“(Crooked) Hillary Clinton confirms she will not run in 2020, rules out a third bid for White House.” Aw-shucks, does that mean I won’t get to run against her again? She will be sorely missed!",34253,168886,3,2019
"Scott Gottlieb, who has done an absolutely terrific job as Commissioner of the FDA, plans to leave government service sometime next month....",12045,67363,3,2019
"....Scott has helped us to lower drug prices, get a record number of generic drugs approved and onto the market, and so many other things. He and his talents will be greatly missed!",12300,72229,3,2019
"Just a few moments ago, I signed an EO addressing one of our nation’s most heartbreaking tragedies: VETERANS SUICIDE. To every Veteran—I want you to know that you have an entire nation of more than 300 million people behind you. You will NEVER be forgotten.https://t.co/DKxiV5Ku3B",27138,101108,3,2019
"Our great First Lady (@FLOTUS) will be doing a LIVE show TODAY at 1:00 PM PT with the terrific @EricBolling at the @WestgateVegas Resort. She’s on her #BeBest Tour, helping address the #OpioidCrisis. Free admission for the first 1,500 people!",12471,62947,3,2019
Republican Approval Rating just hit 93%. Sorry Haters! MAKE AMERICA GREAT AGAIN!,37310,160021,3,2019
PRESIDENTIAL HARASSMENT!,27289,115646,3,2019
"The greatest overreach in the history of our Country. The Dems are obstructing justice and will not get anything done. A big, fat, fishing expedition desperately in search of a crime, when in fact the real crime is what the Dems are doing, and have done!",26617,105743,3,2019
"“HIV Is Cured In 2nd Patient, Doctors Report.” @nytimes  Such great news for so many. Tremendous progress being made!",28051,118891,3,2019
"Now that they realize the only Collusion with Russia was done by Crooked Hillary Clinton &amp; the Democrats, Nadler, Schiff and the Dem heads of the Committees have gone stone cold CRAZY. 81 letter sent to innocent people to harass them. They won’t get ANYTHING done for our Country!",27892,103834,3,2019
@StarParker is indeed a “Star!” Thank you. Center for Urban Renewal &amp; Ed. @JesseBWatters @LauraIngram,975,4799,3,2019
Representative Ilhan Omar is again under fire for her terrible comments concerning Israel. Jewish groups have just sent a petition to Speaker Pelosi asking her to remove Omar from Foreign Relations Committee. A dark day for Israel!,30585,122989,3,2019
“We the people will now be subjected to the biggest display of modern day McCarthyism....which is the widest fishing net expedition....every aspect of the presidents life....all in order to get power back so they can institute Socialism.” @seanhannity,30539,113410,3,2019
“We the people will now be subjected to the biggest display of modern day McCathyism....which is the widest fishing net expedition....every aspect of the presidents life....all in order to get power back so they can institute Socialism.” @seanhannity,2534,8019,3,2019
"RT @JudicialWatch: Right now, our borders are being used as gateways for drug cartels &amp; violent criminals – each day adding to the millions…",14864,0,3,2019
".... Amazon, like the Washington Post. It’s hard to remember that not so long ago America had prestige media outlets, but not anymore.” @TuckerCarlson   The Fake News Media is the true Enemy of the People!",18093,73363,3,2019
"“The American Media has changed forever. News organizations that seemed like a big deal are now extinct.  Those that remain have now degraded themselves beyond recognition, like the New Yorker - or they’ve been purchased by Jeff Bezos to conduct unregistered lobbying for.........",23271,95654,3,2019
Presidential Harassment! https://t.co/2Cz5ckERcs,19516,62564,3,2019
"RT @WhiteHouse: President Trump's message to those affected by the tornadoes in the Gulf states: ""We grieve by your side and we pledge our…",12254,0,3,2019
“There is no Collusion. All of these investigations are in search of a crime. Democrats have no evidence to impeach President Trump. Ridiculous!” @DevinNunes @FoxNews,19877,83976,3,2019
"“Now that the Dems are going to try &amp; switch from Collusion to some other reason, it makes them continue to look like sore losers who didn’t accept the WILL OF THE PEOPLE in the last election - they will do anything to get rid of the President.” @AriFleischer It will never work!",26037,102733,3,2019
"The military drills, or war games as I call them, were never even discussed in my mtg w/ Kim Jong Un of NK—FAKE NEWS! I made that decision long ago because it costs the U.S. far too much money to have those “games”, especially since we are not reimbursed for the tremendous cost!",19273,87471,3,2019
"FEMA has been told directly by me to give the A Plus treatment to the Great State of Alabama and the wonderful people who have been so devastated by the Tornadoes. @GovernorKayIvey, one of the best in our Country, has been so informed. She is working closely with FEMA (and me!).",16592,77957,3,2019
"FEMA has been told directly by me to give the A Plus treatment to the Great State of Alabama and the wonderful people who have been so devastated by the Tornadoes. @GovIvey, one of the best in our Country, has been so informed. She is working closely with FEMA (and me!).",7124,31575,3,2019
RT @GOPChairwoman: I completely agree with Kevin McCarthy.…,15616,0,3,2019
"To the great people of Alabama and surrounding areas: Please be careful and safe. Tornadoes and storms were truly violent and more could be coming. To the families and friends of the victims, and to the injured, God bless you all!",19705,105156,3,2019
And also illegally leaking to Fake News CNN &amp; others? https://t.co/GAItdhWniB,19882,69716,3,2019
Schumer &amp; the Democrats are hurting our Country. Senate Republicans must take BOLD ACTION! https://t.co/QFqCaYmVPJ,20673,72248,3,2019
"RT @MZHemingway: Man, conservatives haven’t been this united on Twitter since the Kavanaugh confirmation!",10700,0,3,2019
"RT @ChatByCC: @realDonaldTrump President Trump made America great again! #MAGA 

Now it’s up to us to help him keep America great. #KAG

#T…",9544,0,3,2019
"RT @rcale1776: Jon Stewart “Listen up everybody, the Trump Justice Dept is doing an excellent job administrating the 911 compensation act”…",19725,0,3,2019
